"Provincies";"Bevolking totaal|2005";"Bevolking totaal|2006";"Bevolking totaal|2007";"Bevolking totaal|2008";"Bevolking totaal|2009";"Bevolking totaal|2010";"Bevolking totaal|2011";"Bevolking totaal|2012";"Bevolking totaal|2013";"Bevolking totaal|2014";"Bevolking totaal|2015";"Bevolking totaal|2016"
"Groningen (Pr)";575072;574042;573614;573459;574092;576668;579036;580875;581705;582728;583942;583721
"Friesland";642977;642230;642209;643189;644811;646305;647282;647214;646862;646317;646257;646040
"Drenthe";483369;484481;486197;488135;489918;490981;491411;490807;489918;488988;488576;488629
"Overijssel";1109432;1113529;1116374;1119994;1125435;1130345;1134465;1137668;1139350;1139697;1140652;1144280
"Flevoland";365859;370656;374424;378688;383449;387881;391967;395525;398441;399893;401791;404068
"Gelderland";1972010;1975704;1979059;1983869;1991062;1998936;2004671;2010745;2015791;2019692;2026578;2035351
"Utrecht (Pr)";1171295;1180043;1190608;1201354;1210873;1220910;1228794;1237117;1245294;1253672;1263572;1273613
"Noord-Holland";2599089;2606570;2613056;2626149;2646431;2669084;2691477;2709822;2724300;2741369;2761929;2784854
"Zuid-Holland";3458391;3458885;3455107;3461445;3481568;3505611;3528324;3552407;3563935;3577032;3600011;3622303
"Zeeland";379978;380186;380497;380585;380984;381409;381530;381407;381077;380621;380726;381252
"Noord-Brabant";2411359;2415946;2419042;2424827;2434560;2444158;2454215;2463686;2471011;2479274;2488751;2498749
"Limburg";1136695;1131938;1127805;1123705;1122604;1122701;1122627;1123075;1121891;1120006;1117941;1116260
